CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,14:37:42 - July 11 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
14:37:52 07/11/25,71,71,71,71,71,71,,,71,76,13,4641.30,,71,75,11,4641.30,,71,76,5,3713.04,,71,76,15,3713.04,,71,76,7,3713.04,,71,76,8,3713.04,46.7,
14:38:02 07/11/25,70,70,70,70,70,70,,,70,76,17,4491.58,,70,75,6,4641.30,,70,76,4,3713.04,,70,76,9,3713.04,,70,76,4,3713.04,,70,76,5,4491.58,46.2,
14:38:12 07/11/25,70,70,70,70,70,70,,,69,76,15,3668.12,,69,75,11,3668.12,,69,76,4,3668.12,,69,76,13,3668.12,,69,76,7,3668.12,,69,76,5,3668.12,47.3,
14:38:22 07/11/25,71,71,71,71,71,71,,,69,76,14,4641.30,,69,75,8,4641.30,,69,76,10,4641.30,,69,76,16,4641.30,,69,76,11,3693.08,,69,76,8,3693.08,47.3,
14:38:32 07/11/25,71,71,71,71,71,71,,,69,76,8,3668.12,,69,75,9,3668.12,,69,76,3,3668.12,,69,76,14,3668.12,,69,76,4,3668.12,,69,76,7,3668.12,49.6,
14:38:42 07/11/25,71,71,71,71,71,71,,,69,76,14,4641.30,,69,75,6,4641.30,,69,76,2,3713.04,,69,76,15,3713.04,,69,76,7,3713.04,,69,76,6,3713.04,48.7,
14:38:52 07/11/25,77,77,77,77,77,77,,,69,77,19,3533.38,,69,77,9,3533.38,,69,77,8,4416.72,,69,77,17,4441.67,,69,77,11,4441.67,,69,77,36,4441.67,63.3,
14:39:02 07/11/25,72,72,72,72,72,72,,,69,77,15,3668.12,,69,77,16,3668.12,,69,77,3,3668.12,,69,77,13,3668.12,,69,77,9,3668.12,,69,77,3,3668.12,47.8,
14:39:12 07/11/25,71,71,71,71,71,71,,,69,77,13,4641.30,,69,77,9,4641.30,,69,77,1,4641.30,,69,77,9,4641.30,,69,77,5,3713.04,,69,77,0,3713.04,44.7,
14:39:22 07/11/25,71,71,71,71,71,71,,,69,77,19,3713.04,,69,77,10,3713.04,,69,77,7,3713.04,,69,77,16,3713.04,,69,77,11,3713.04,,69,77,12,3713.04,48.6,
14:39:32 07/11/25,71,71,71,71,71,71,,,69,77,10,3713.04,,69,77,8,3713.04,,69,77,3,3713.04,,69,77,12,3713.04,,69,77,7,3713.04,,69,77,6,3713.04,46.4,
14:39:42 07/11/25,72,72,72,72,72,72,,,69,77,13,4641.30,,69,77,9,4641.30,,69,77,2,3713.04,,69,77,14,3713.04,,69,77,3,4641.30,,69,77,5,4641.30,48.6,
14:39:52 07/11/25,72,72,72,72,72,72,,,69,77,27,3668.12,,69,77,15,3668.12,,69,77,14,3668.12,,69,77,27,3668.12,,69,77,9,3668.12,,69,77,9,3668.12,50.9,
14:40:02 07/11/25,72,72,72,72,72,72,,,69,77,21,4641.30,,69,77,8,4641.30,,69,77,3,3713.04,,69,77,9,3713.04,,69,77,8,3713.04,,69,77,7,3713.04,51.9,
14:40:12 07/11/25,72,72,72,72,72,72,,,69,77,17,3668.12,,69,77,10,3668.12,,69,77,5,3713.04,,69,77,23,3713.04,,69,77,6,3713.04,,69,77,5,3713.04,48.3,
14:40:22 07/11/25,72,72,72,72,72,72,,,69,77,12,3713.04,,69,77,9,3713.04,,69,77,4,3713.04,,69,77,10,3713.04,,69,77,10,3713.04,,69,77,6,3713.04,47.4,
14:40:32 07/11/25,72,72,72,72,72,72,,,69,77,8,3668.12,,69,77,12,3668.12,,69,77,3,3668.12,,69,77,15,3668.12,,69,77,9,3668.12,,69,77,5,3668.12,46.7,
14:40:42 07/11/25,72,72,72,72,72,72,,,69,77,19,3713.04,,69,77,15,3713.04,,69,77,8,3713.04,,69,77,21,3713.04,,69,77,9,4641.30,,69,77,9,4641.30,48.4,
14:40:52 07/11/25,73,73,73,73,73,73,,,69,77,25,4641.30,,69,77,18,4641.30,,69,77,7,4591.39,,69,77,19,4591.39,,69,77,9,4591.39,,69,77,8,4591.39,51.9,
14:41:02 07/11/25,73,73,73,73,73,73,,,69,77,24,4641.30,,69,77,12,4641.30,,69,77,8,3713.04,,69,77,24,4566.44,,69,77,16,3653.15,,69,77,9,3653.15,51.0,
14:41:12 07/11/25,73,73,73,73,73,73,,,69,77,18,3668.12,,69,77,11,4641.30,,69,77,6,3713.04,,69,77,19,3713.04,,69,77,7,3713.04,,69,77,7,3713.04,48.5,
14:41:22 07/11/25,73,73,73,73,73,73,,,69,77,15,3668.12,,69,77,10,3668.12,,69,77,8,3668.12,,69,77,17,3668.12,,69,77,8,3668.12,,69,77,11,3668.12,50.0,
14:41:32 07/11/25,73,73,73,73,73,73,,,69,77,18,4516.53,,69,77,8,4516.53,,69,77,2,3613.23,,69,77,12,3613.23,,69,77,4,3613.23,,69,77,3,3613.23,48.9,
14:41:42 07/11/25,72,72,72,72,72,72,,,69,77,14,4616.35,,69,77,12,4616.35,,69,77,4,4616.35,,69,77,11,4616.35,,69,77,6,4616.35,,69,77,4,4616.35,49.1,
14:41:52 07/11/25,71,71,71,71,71,71,,,69,77,10,3713.04,,69,77,9,3713.04,,69,77,6,4641.30,,69,77,14,4641.30,,69,77,5,3713.04,,69,77,6,3713.04,50.3,
14:42:02 07/11/25,71,71,71,71,71,71,,,69,77,12,4641.30,,69,77,10,4641.30,,69,77,6,4641.30,,69,77,11,4641.30,,69,77,6,3713.04,,69,77,4,3713.04,50.6,
14:42:12 07/11/25,71,71,71,71,71,71,,,69,77,16,3668.12,,69,77,13,3668.12,,69,77,7,3668.12,,69,77,19,3668.12,,69,77,7,3668.12,,69,77,8,3668.12,48.2,
14:42:22 07/11/25,73,73,73,73,73,73,,,69,77,19,3668.12,,69,77,13,3668.12,,69,77,9,3668.12,,69,77,16,3668.12,,69,77,12,3668.12,,69,77,10,3713.04,51.8,
14:42:32 07/11/25,72,72,72,72,72,72,,,69,77,17,3668.12,,69,77,18,3668.12,,69,77,8,3668.12,,69,77,25,3668.12,,69,77,8,3668.12,,69,77,6,3668.12,48.0,
14:42:42 07/11/25,73,73,73,73,73,73,,,69,77,18,4641.30,,69,77,16,4641.30,,69,77,7,3713.04,,69,77,22,3713.04,,69,77,10,3713.04,,69,77,8,3713.04,54.3,
14:42:52 07/11/25,73,73,73,73,73,73,,,69,77,7,4641.30,,69,77,4,4641.30,,69,77,1,4641.30,,69,77,14,4641.30,,69,77,7,3713.04,,69,77,5,3713.04,51.9,
14:43:02 07/11/25,72,72,72,72,72,72,,,69,77,20,3668.12,,69,77,18,3668.12,,69,77,8,3668.12,,69,77,18,3713.04,,69,77,10,3713.04,,69,77,10,3713.04,56.2,
