CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,16:42:02 - July 02 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
16:46:42 07/02/25,79,79,79,79,79,79,,,71,82,26,4466.64,,71,82,20,4466.64,,71,82,8,4466.64,,71,82,34,4466.64,,71,82,14,3573.31,,71,82,12,3573.31,63.8,
16:46:52 07/02/25,81,81,81,81,81,81,,,71,82,34,4566.45,,71,82,21,4491.59,,71,82,18,4491.59,,71,82,29,4491.59,,71,82,18,4491.59,,71,82,9,4591.41,64.2,
16:47:02 07/02/25,78,78,78,78,78,78,,,71,83,18,4641.31,,71,83,12,3668.13,,71,83,8,3668.13,,71,83,16,3668.13,,71,83,10,3668.13,,71,83,7,3668.13,53.1,
16:47:12 07/02/25,76,76,76,76,76,76,,,71,83,18,4641.31,,71,83,17,3713.05,,71,83,7,4641.31,,71,83,21,4641.31,,71,83,10,3713.05,,71,83,10,3713.05,60.2,
16:47:22 07/02/25,75,75,75,75,75,75,,,71,83,18,4616.36,,71,83,11,4616.36,,71,83,8,4616.36,,71,83,15,4616.36,,71,83,12,4616.36,,71,83,11,4616.36,53.2,
16:47:32 07/02/25,74,74,74,74,74,74,,,71,83,30,4641.31,,71,83,14,4641.31,,71,83,13,3713.05,,71,83,15,3713.05,,71,83,11,3713.05,,71,83,14,3713.05,55.0,
16:47:42 07/02/25,81,81,81,81,81,81,,,71,83,27,3613.24,,71,83,18,3613.24,,71,83,6,3613.24,,71,83,38,3613.24,,71,83,14,3613.24,,71,83,8,3613.24,60.9,
16:47:52 07/02/25,78,78,78,78,78,78,,,71,83,17,4516.55,,71,83,12,4516.55,,71,83,7,4516.55,,71,83,17,4516.55,,71,83,8,4516.55,,71,83,14,4516.55,47.5,
16:48:02 07/02/25,74,74,74,74,74,74,,,71,83,17,4641.31,,71,83,7,4641.31,,71,83,4,4641.31,,71,83,14,4641.31,,71,83,3,3713.05,,71,83,4,3713.05,50.2,
16:48:12 07/02/25,72,72,72,72,72,72,,,71,83,16,4591.41,,71,83,7,4591.41,,71,83,3,3673.12,,71,83,11,3673.12,,71,83,2,4591.41,,71,83,4,4591.41,48.1,
