CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,12:01:43 - August 08 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
12:01:53 08/08/25,56,56,56,56,56,56,,,56,60,4,3600.05,,56,60,0,3600.05,,56,60,0,3600.05,,56,60,4,3600.05,,56,60,0,3720.05,,56,60,5,3720.05,30.3,
12:02:03 08/08/25,53,53,53,53,53,53,,,53,60,3,4650.06,,53,60,0,4650.06,,53,60,0,4650.06,,53,60,4,4650.06,,53,60,0,4650.06,,53,60,2,4650.06,27.6,
12:02:13 08/08/25,53,53,53,53,53,53,,,53,60,2,3600.05,,53,60,4,3600.05,,53,60,2,3600.05,,53,60,6,3600.05,,53,60,1,3600.05,,53,60,3,2880.04,29.3,
12:02:23 08/08/25,54,54,54,54,54,54,,,53,60,5,3600.05,,53,60,1,3600.05,,53,60,1,3600.05,,53,60,6,3600.05,,53,60,2,3600.05,,53,60,2,3720.05,28.2,
12:02:33 08/08/25,53,53,53,53,53,53,,,53,60,2,3600.05,,53,60,0,3600.05,,53,60,0,3600.05,,53,60,4,2880.04,,53,60,1,3720.05,,53,60,2,3720.05,26.9,
12:02:43 08/08/25,63,63,63,63,63,63,,,53,64,10,3600.05,,53,64,3,3600.05,,53,64,1,3600.05,,53,64,8,3720.05,,53,64,0,4650.06,,53,64,2,4650.06,42.3,
12:02:53 08/08/25,61,61,61,61,61,61,,,53,67,6,3600.05,,53,67,2,3600.05,,53,67,2,3600.05,,53,67,6,3600.05,,53,67,2,3600.05,,53,67,4,3600.05,34.5,
12:03:03 08/08/25,59,59,59,59,59,59,,,53,67,2,3600.05,,53,67,2,3600.05,,53,67,3,3600.05,,53,67,2,3600.05,,53,67,3,3720.05,,53,67,2,3720.05,34.1,
12:03:13 08/08/25,64,64,64,64,64,64,,,53,67,8,3600.05,,53,67,0,3600.05,,53,67,1,3600.05,,53,67,3,3600.05,,53,67,2,3720.05,,53,67,5,3720.05,36.1,
12:03:23 08/08/25,67,67,67,67,67,67,,,53,67,22,3600.05,,53,67,12,3600.05,,53,67,10,3600.05,,53,67,22,3600.05,,53,67,12,3720.05,,53,67,8,3720.05,61.9,
