CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,21:25:54 - June 30 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
21:26:04 06/30/25,65,65,65,65,65,65,,,65,71,3,4641.28,,65,71,4,4641.28,,65,71,1,3713.02,,65,71,2,3713.02,,65,71,1,4641.28,,65,71,3,4641.28,36.4,
21:26:14 06/30/25,63,63,63,63,63,63,,,63,71,5,4641.28,,63,71,4,4641.28,,63,71,0,4641.28,,63,71,8,4641.28,,63,71,0,3713.02,,63,71,5,3713.02,31.2,
21:26:24 06/30/25,63,63,63,63,63,63,,,62,71,6,4641.28,,62,71,2,4641.28,,62,71,0,3713.02,,62,71,3,3713.02,,62,71,3,3713.02,,62,71,3,3713.02,35.7,
21:26:34 06/30/25,62,62,62,62,62,62,,,62,71,4,4641.28,,62,71,2,4641.28,,62,71,1,3713.02,,62,71,2,3713.02,,62,71,0,3713.02,,62,71,1,3713.02,32.2,
21:26:44 06/30/25,62,62,62,62,62,62,,,62,71,4,4641.28,,62,71,1,4641.28,,62,71,1,3713.02,,62,71,7,3713.02,,62,71,0,3713.02,,62,71,4,3713.02,34.6,
21:26:54 06/30/25,65,65,65,65,65,65,,,62,71,8,4641.28,,62,71,3,4641.28,,62,71,0,3713.02,,62,71,4,3713.02,,62,71,0,3713.02,,62,71,4,3713.02,33.1,
21:27:04 06/30/25,63,63,63,63,63,63,,,62,71,7,3713.02,,62,71,3,3713.02,,62,71,1,3713.02,,62,71,4,3713.02,,62,71,2,4641.28,,62,71,5,4641.28,31.3,
21:27:14 06/30/25,62,62,62,62,62,62,,,62,71,5,4641.28,,62,71,4,4641.28,,62,71,1,4641.28,,62,71,3,4641.28,,62,71,3,3713.02,,62,71,3,3713.02,34.9,
21:27:24 06/30/25,62,62,62,62,62,62,,,62,71,4,4641.28,,62,71,1,4641.28,,62,71,1,4641.28,,62,71,2,4641.28,,62,71,2,4641.28,,62,71,0,4641.28,32.5,
21:27:34 06/30/25,62,62,62,62,62,62,,,62,71,4,3713.02,,62,71,3,3713.02,,62,71,1,4641.28,,62,71,3,4641.28,,62,71,1,3713.02,,62,71,5,3713.02,33.5,
