CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,17:20:50 - July 09 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
17:21:00 07/09/25,73,73,73,73,73,73,,,68,74,9,4616.36,,68,74,10,4616.36,,68,74,6,4616.36,,68,74,17,4616.36,,68,74,7,3693.09,,68,74,1,3693.09,41.9,
17:21:10 07/09/25,78,78,78,78,78,78,,,68,78,31,4591.41,,68,78,25,4591.41,,68,78,5,4591.41,,68,78,37,4591.41,,68,78,10,3673.13,,68,78,6,4591.41,62.7,
17:21:20 07/09/25,73,73,73,73,73,73,,,68,78,23,4641.32,,68,78,11,4641.32,,68,78,4,3713.05,,68,78,33,3713.05,,68,78,9,3713.05,,68,78,6,3713.05,56.5,
17:21:30 07/09/25,75,75,75,75,75,75,,,68,78,7,4641.32,,68,78,5,4641.32,,68,78,4,3713.05,,68,78,5,3713.05,,68,78,3,3713.05,,68,78,2,3713.05,30.9,
17:21:40 07/09/25,63,63,63,63,63,63,,,63,78,16,4641.32,,63,78,6,4641.32,,63,78,2,3713.05,,63,78,9,3713.05,,63,78,4,3713.05,,63,78,3,3713.05,38.4,
17:21:50 07/09/25,76,76,76,76,76,76,,,63,78,32,4566.46,,63,78,25,4566.46,,63,78,11,4566.46,,63,78,34,4566.46,,63,78,30,4566.46,,63,78,5,4566.46,64.6,
17:22:00 07/09/25,80,80,80,80,80,80,,,63,81,17,4566.46,,63,81,9,4566.46,,63,81,5,4566.46,,63,81,18,4566.46,,63,81,9,4566.46,,63,81,9,4566.46,42.1,
17:22:10 07/09/25,79,79,79,79,79,79,,,63,81,13,4616.36,,63,81,13,4616.36,,63,81,7,4616.36,,63,81,25,4616.36,,63,81,8,3693.09,,63,81,4,3693.09,45.9,
17:22:20 07/09/25,81,81,81,81,81,81,,,63,81,27,3593.28,,63,81,20,3593.28,,63,81,8,3593.28,,63,81,33,3593.28,,63,81,20,3593.28,,63,81,7,3593.28,55.3,
17:22:30 07/09/25,79,79,79,79,79,79,,,63,81,48,4466.64,,63,81,26,4466.64,,63,81,20,4416.74,,63,81,42,4441.69,,63,81,17,4441.69,,63,81,15,4441.69,64.8,
17:22:40 07/09/25,79,79,79,79,79,79,,,63,81,32,4641.32,,63,81,27,4641.32,,63,81,13,4641.32,,63,81,44,4641.32,,63,81,16,4566.46,,63,81,13,4566.46,63.8,
17:22:50 07/09/25,73,73,73,73,73,73,,,63,81,24,4641.32,,63,81,9,4641.32,,63,81,6,4641.32,,63,81,17,4641.32,,63,81,14,3713.05,,63,81,6,3713.05,59.7,
17:23:00 07/09/25,72,72,72,72,72,72,,,63,81,22,3613.24,,63,81,26,3613.24,,63,81,13,4516.55,,63,81,22,4516.55,,63,81,16,4516.55,,63,81,10,4516.55,51.4,
17:23:10 07/09/25,77,77,77,77,77,77,,,63,81,32,4516.55,,63,81,24,4516.55,,63,81,15,3613.24,,63,81,33,3613.24,,63,81,22,3613.24,,63,81,18,3613.24,60.8,
17:23:20 07/09/25,76,76,76,76,76,76,,,63,81,25,3668.14,,63,81,14,4641.32,,63,81,16,3713.05,,63,81,29,3713.05,,63,81,10,3713.05,,63,81,11,3713.05,55.8,
17:23:30 07/09/25,83,83,83,83,83,83,,,63,83,48,3613.24,,63,83,33,3613.24,,63,83,17,4466.64,,63,83,36,4466.64,,63,83,22,4466.64,,63,83,9,4466.64,68.4,
17:23:40 07/09/25,82,82,82,82,82,82,,,63,83,31,4516.55,,63,83,26,4516.55,,63,83,10,4516.55,,63,83,47,4516.55,,63,83,20,4516.55,,63,83,10,4516.55,65.3,
17:23:50 07/09/25,82,82,82,82,82,82,,,63,83,40,4641.32,,63,83,24,4641.32,,63,83,24,3713.05,,63,83,43,3713.05,,63,83,20,4491.60,,63,83,18,4491.60,67.8,
17:24:00 07/09/25,80,80,80,80,80,80,,,63,83,63,4491.60,,63,83,58,4516.55,,63,83,51,4516.55,,63,83,59,4516.55,,63,83,46,4516.55,,63,83,55,4516.55,77.6,
17:24:10 07/09/25,75,75,75,75,75,75,,,63,83,23,4541.50,,63,83,17,4541.50,,63,83,15,4541.50,,63,83,25,4566.46,,63,83,18,3653.17,,63,83,12,3653.17,55.6,
17:24:20 07/09/25,73,73,73,73,73,73,,,63,83,20,4616.36,,63,83,15,4616.36,,63,83,7,4616.36,,63,83,25,4616.36,,63,83,14,4616.36,,63,83,12,4616.36,55.4,
17:24:30 07/09/25,72,72,72,72,72,72,,,63,83,31,4641.32,,63,83,15,4641.32,,63,83,10,4641.32,,63,83,19,4641.32,,63,83,10,3713.05,,63,83,14,3713.05,57.1,
