CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,13:50:42 - June 29 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
13:50:51 06/29/25,62,62,62,62,62,62,,,56,63,6,3593.27,,56,63,6,3593.27,,56,63,2,3593.27,,56,63,8,3593.27,,56,63,2,3593.27,,56,63,6,3593.27,40.4,
13:51:01 06/29/25,66,66,66,66,66,66,,,56,70,10,3593.27,,56,70,2,3593.27,,56,70,2,3593.27,,56,70,7,3593.27,,56,70,1,3593.27,,56,70,3,3593.27,38.6,
13:51:11 06/29/25,71,71,71,71,71,71,,,56,73,10,3593.27,,56,73,2,3593.27,,56,73,2,3593.27,,56,73,9,3593.27,,56,73,3,3593.27,,56,73,3,3593.27,42.3,
13:51:21 06/29/25,77,77,77,77,77,77,,,56,78,13,3713.04,,56,78,13,3713.04,,56,78,5,4641.30,,56,78,26,4641.30,,56,78,4,3713.04,,56,78,1,3713.04,56.2,
13:51:32 06/29/25,76,76,76,76,76,76,,,56,79,16,3593.27,,56,79,9,3593.27,,56,79,6,3593.27,,56,79,13,3593.27,,56,79,8,3593.27,,56,79,11,3593.27,43.3,
13:51:42 06/29/25,67,67,67,67,67,67,,,56,79,7,3593.27,,56,79,4,3593.27,,56,79,2,3593.27,,56,79,5,3593.27,,56,79,2,3593.27,,56,79,4,3593.27,33.5,
13:51:51 06/29/25,64,64,64,64,64,64,,,56,79,8,3593.27,,56,79,4,3593.27,,56,79,2,3593.27,,56,79,8,3593.27,,56,79,2,3593.27,,56,79,4,3593.27,34.1,
13:52:01 06/29/25,62,62,62,62,62,62,,,56,79,6,3593.27,,56,79,2,3593.27,,56,79,0,3593.27,,56,79,2,3593.27,,56,79,2,3593.27,,56,79,0,3713.04,33.1,
13:52:11 06/29/25,63,63,63,63,63,63,,,56,79,16,3593.27,,56,79,7,3593.27,,56,79,2,3593.27,,56,79,9,3593.27,,56,79,4,3593.27,,56,79,4,3593.27,36.2,
13:52:21 06/29/25,69,68,68,68,68,69,,,56,79,10,4616.35,,56,79,11,4616.35,,56,79,6,4616.35,,56,79,18,4616.35,,56,79,11,4616.35,,56,79,10,4616.35,44.7,
13:52:32 06/29/25,78,78,78,78,78,78,,,56,79,26,4466.63,,56,79,39,4466.63,,56,79,31,4466.63,,56,79,44,4466.63,,56,79,33,4466.63,,56,79,77,4466.63,69.9,
13:52:42 06/29/25,75,75,75,75,75,75,,,56,81,15,3593.27,,56,81,11,3593.27,,56,81,5,3593.27,,56,81,16,3593.27,,56,81,8,3593.27,,56,81,1,3593.27,50.4,
13:52:52 06/29/25,76,76,76,76,76,76,,,56,81,27,3713.04,,56,81,10,3713.04,,56,81,4,4641.30,,56,81,15,4641.30,,56,81,3,3713.04,,56,81,3,3713.04,50.1,
13:53:02 06/29/25,76,76,76,76,76,76,,,56,81,24,3713.04,,56,81,21,3713.04,,56,81,4,4641.30,,56,81,17,4641.30,,56,81,12,3713.04,,56,81,5,3713.04,55.0,
13:53:12 06/29/25,77,77,77,77,77,77,,,56,81,21,4641.30,,56,81,14,4641.30,,56,81,7,4641.30,,56,81,10,4641.30,,56,81,6,3713.04,,56,81,9,3713.04,51.9,
13:53:22 06/29/25,76,75,75,76,76,76,,,56,81,13,3593.27,,56,81,13,3593.27,,56,81,7,3593.27,,56,81,29,3593.27,,56,81,10,3593.27,,56,81,11,3593.27,50.8,
