CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,17:42:07 - July 08 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
17:42:17 07/08/25,70,70,70,70,70,70,,,70,72,13,4641.29,,70,72,6,4641.29,,70,72,4,3713.04,,70,72,15,3713.04,,70,72,3,3713.04,,70,72,5,3713.04,49.4,
17:42:27 07/08/25,69,69,69,69,69,69,,,69,72,13,4641.29,,69,72,6,4641.29,,69,72,3,4641.29,,69,72,12,4641.29,,69,72,8,3713.04,,69,72,3,3713.04,48.1,
17:42:37 07/08/25,73,73,73,73,73,73,,,69,75,18,4466.62,,69,75,13,4466.62,,69,75,5,4441.67,,69,75,14,4466.62,,69,75,9,4466.62,,69,75,6,4466.62,48.9,
17:42:47 07/08/25,69,69,69,69,69,69,,,69,75,22,4641.29,,69,75,11,4641.29,,69,75,5,3713.04,,69,75,18,3713.04,,69,75,7,3713.04,,69,75,3,3713.04,47.8,
17:42:57 07/08/25,70,70,70,70,70,70,,,69,75,22,3668.12,,69,75,9,3668.12,,69,75,4,3668.12,,69,75,14,3668.12,,69,75,5,3668.12,,69,75,3,3668.12,50.1,
17:43:07 07/08/25,70,70,70,70,70,70,,,69,75,17,4641.29,,69,75,11,4641.29,,69,75,7,4641.29,,69,75,13,4641.29,,69,75,4,4641.29,,69,75,8,4641.29,47.6,
17:43:17 07/08/25,73,73,73,73,73,73,,,69,75,22,3613.22,,69,75,10,3613.22,,69,75,9,3613.22,,69,75,22,3613.22,,69,75,6,3613.22,,69,75,5,3613.22,52.2,
17:43:27 07/08/25,77,77,77,77,77,77,,,69,82,15,4541.48,,69,82,11,4541.48,,69,82,6,4541.48,,69,82,24,4541.48,,69,82,6,4541.48,,69,82,9,4541.48,51.9,
17:43:37 07/08/25,80,80,80,80,80,80,,,69,82,30,4641.29,,69,82,20,4641.29,,69,82,10,4616.34,,69,82,25,4616.34,,69,82,12,4616.34,,69,82,10,4616.34,61.3,
17:43:47 07/08/25,76,76,76,76,76,76,,,69,82,13,4641.29,,69,82,8,4641.29,,69,82,5,4641.29,,69,82,12,4641.29,,69,82,5,3713.04,,69,82,8,3713.04,48.4,
