CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,11:14:18 - June 28 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
11:18:58 06/28/25,65,65,65,65,65,65,,,58,82,12,3593.25,,58,82,8,3593.25,,58,82,0,3593.25,,58,82,11,3593.25,,58,82,1,3593.25,,58,82,4,3593.25,42.6,
11:19:08 06/28/25,77,77,77,77,77,77,,,58,82,39,3673.10,,58,82,41,3673.10,,58,82,20,3673.10,,58,82,55,3673.10,,58,82,27,3673.10,,58,82,22,3673.10,64.0,
11:19:18 06/28/25,70,70,70,70,70,70,,,58,82,20,3593.25,,58,82,14,3593.25,,58,82,11,3713.03,,58,82,15,3713.03,,58,82,16,3713.03,,58,82,12,3713.03,45.6,
11:19:28 06/28/25,70,70,70,70,70,70,,,58,82,14,4491.57,,58,82,9,4491.57,,58,82,8,4491.57,,58,82,15,4516.52,,58,82,8,4516.52,,58,82,8,4516.52,38.3,
11:19:38 06/28/25,76,76,76,76,76,76,,,58,82,37,4641.29,,58,82,22,4641.29,,58,82,9,3713.03,,58,82,35,4641.29,,58,82,14,3713.03,,58,82,8,3713.03,62.4,
11:19:48 06/28/25,66,66,66,66,66,66,,,58,82,4,3593.25,,58,82,0,3593.25,,58,82,1,3593.25,,58,82,7,3593.25,,58,82,2,3593.25,,58,82,4,3593.25,30.4,
11:19:58 06/28/25,76,76,76,76,76,76,,,58,82,28,4391.75,,58,82,16,4416.71,,58,82,9,4366.80,,58,82,38,4366.80,,58,82,16,4441.66,,58,82,5,4441.66,60.2,
11:20:08 06/28/25,70,70,70,70,70,70,,,58,82,20,3593.25,,58,82,12,3593.25,,58,82,8,3593.25,,58,82,19,3593.25,,58,82,7,3593.25,,58,82,10,3593.25,34.7,
11:20:18 06/28/25,65,65,65,65,65,65,,,58,82,10,3593.25,,58,82,0,3593.25,,58,82,0,3593.25,,58,82,5,3593.25,,58,82,1,3593.25,,58,82,2,3713.03,32.8,
11:20:28 06/28/25,60,60,60,60,60,60,,,58,82,7,3593.25,,58,82,1,3593.25,,58,82,0,3593.25,,58,82,6,3593.25,,58,82,0,3593.25,,58,82,2,3593.25,31.4,
11:20:38 06/28/25,71,71,71,71,71,71,,,58,82,19,4641.29,,58,82,16,4641.29,,58,82,9,3713.03,,58,82,22,4641.29,,58,82,13,4641.29,,58,82,2,4641.29,60.9,
