CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,00:48:52 - June 28 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
00:53:24 06/28/25,57,57,57,57,57,57,,,57,75,5,3593.19,,57,75,1,3593.19,,57,75,0,3593.19,,57,75,1,3593.19,,57,75,1,3593.19,,57,75,3,3593.19,26.5,
00:53:34 06/28/25,57,57,57,57,57,57,,,57,75,1,3593.19,,57,75,0,3593.19,,57,75,0,3593.19,,57,75,4,3593.19,,57,75,0,3593.19,,57,75,3,3593.19,26.3,
00:53:44 06/28/25,57,57,57,57,57,57,,,57,75,1,3593.19,,57,75,0,3593.19,,57,75,0,3593.19,,57,75,0,3593.19,,57,75,3,3712.97,,57,75,1,3712.97,26.4,
00:53:54 06/28/25,57,57,57,57,57,57,,,57,75,5,3593.19,,57,75,0,3593.19,,57,75,0,3593.19,,57,75,3,3593.19,,57,75,2,3593.19,,57,75,3,3593.19,29.8,
00:54:04 06/28/25,57,57,57,57,57,57,,,57,75,4,3593.19,,57,75,2,3593.19,,57,75,0,3593.19,,57,75,0,3593.19,,57,75,3,3593.19,,57,75,2,3593.19,26.5,
00:54:14 06/28/25,57,57,57,57,57,57,,,57,75,5,3593.19,,57,75,2,3593.19,,57,75,0,3593.19,,57,75,1,3593.19,,57,75,2,3593.19,,57,75,1,3593.19,29.5,
00:54:24 06/28/25,57,57,57,57,57,57,,,57,75,2,4566.35,,57,75,2,4566.35,,57,75,1,3653.08,,57,75,2,3653.08,,57,75,1,3653.08,,57,75,4,3653.08,26.5,
00:54:34 06/28/25,57,57,57,57,57,57,,,57,75,2,3593.19,,57,75,1,3593.19,,57,75,0,3593.19,,57,75,1,3593.19,,57,75,0,3593.19,,57,75,5,3593.19,29.8,
00:54:44 06/28/25,58,58,58,58,58,58,,,57,75,5,3593.19,,57,75,3,3593.19,,57,75,0,3593.19,,57,75,1,3593.19,,57,75,0,3593.19,,57,75,5,3593.19,26.2,
00:54:54 06/28/25,71,71,71,71,71,71,,,57,75,33,4516.44,,57,75,19,4516.44,,57,75,12,3613.16,,57,75,35,3613.16,,57,75,12,3613.16,,57,75,39,3613.16,61.2,
