CPUID:,0xA20F12
Processor:,AMD Ryzen 5 5600X 6-Core (Vermeer) 
Platform:,Socket AM4 (1331 pin)
Revision:,VMR-B2
Lithography:,7nm

Session start:,09:40:20 - July 12 - 2025

Time,Core 0 Temp. (°),Core 1 Temp. (°),Core 2 Temp. (°),Core 3 Temp. (°),Core 4 Temp. (°),Core 5 Temp. (°),,Core 0,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 1,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 2,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 3,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 4,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),Core 5,Low temp. (°),High temp. (°),Core load (%),Core speed (MHz),CPU 0 Power,
09:45:00 07/12/25,75,75,75,75,75,75,,,63,80,27,4566.40,,63,80,14,4641.26,,63,80,11,4641.26,,63,80,32,4641.26,,63,80,7,4641.26,,63,80,14,4641.26,56.5,
09:45:10 07/12/25,74,74,74,74,74,74,,,63,80,27,4641.26,,63,80,18,4641.26,,63,80,13,4641.26,,63,80,30,4641.26,,63,80,12,3713.01,,63,80,12,3713.01,56.5,
09:45:20 07/12/25,73,73,73,73,73,73,,,63,80,21,3668.09,,63,80,17,3668.09,,63,80,13,3668.09,,63,80,28,3713.01,,63,80,14,3713.01,,63,80,12,3713.01,50.6,
09:45:30 07/12/25,72,72,72,72,72,72,,,63,80,12,3713.01,,63,80,9,3713.01,,63,80,5,4641.26,,63,80,18,4641.26,,63,80,4,3713.01,,63,80,4,3713.01,50.1,
09:45:40 07/12/25,75,75,75,75,75,75,,,63,80,26,3713.01,,63,80,16,2934.47,,63,80,7,3668.09,,63,80,29,3668.09,,63,80,10,3668.09,,63,80,9,3668.09,54.2,
09:45:50 07/12/25,79,79,79,79,79,79,,,63,80,34,4566.40,,63,80,25,4566.40,,63,80,11,3653.12,,63,80,36,3653.12,,63,80,13,3653.12,,63,80,8,3653.12,63.7,
09:46:00 07/12/25,77,77,77,77,77,77,,,63,82,26,4516.50,,63,82,16,4516.50,,63,82,8,4516.50,,63,82,29,4516.50,,63,82,18,4516.50,,63,82,12,4516.50,54.6,
09:46:10 07/12/25,75,75,75,75,75,75,,,63,82,19,3713.01,,63,82,12,3713.01,,63,82,8,3713.01,,63,82,24,3713.01,,63,82,9,3713.01,,63,82,9,3713.01,52.8,
09:46:20 07/12/25,71,71,71,71,71,71,,,63,82,10,3668.09,,63,82,7,3668.09,,63,82,6,3668.09,,63,82,16,3668.09,,63,82,9,3668.09,,63,82,3,3668.09,45.7,
09:46:30 07/12/25,75,75,75,75,75,75,,,63,82,20,3668.09,,63,82,8,3668.09,,63,82,6,3668.09,,63,82,20,3668.09,,63,82,8,3713.01,,63,82,6,3713.01,52.5,
09:46:40 07/12/25,73,73,73,73,73,73,,,63,82,21,4641.26,,63,82,15,4641.26,,63,82,6,3713.01,,63,82,22,3713.01,,63,82,11,3713.01,,63,82,10,3713.01,54.0,
09:46:50 07/12/25,73,73,73,73,73,73,,,63,82,14,4641.26,,63,82,11,4641.26,,63,82,8,3713.01,,63,82,27,3713.01,,63,82,5,3713.01,,63,82,6,3713.01,54.8,
09:47:00 07/12/25,73,73,73,73,73,73,,,63,82,14,3668.09,,63,82,16,3668.09,,63,82,9,3668.09,,63,82,26,4641.26,,63,82,9,3713.01,,63,82,10,3713.01,51.9,
09:47:10 07/12/25,76,76,76,76,76,76,,,63,82,12,4641.26,,63,82,14,4641.26,,63,82,6,4641.26,,63,82,24,4641.26,,63,82,10,4641.26,,63,82,15,4641.26,53.9,
09:47:20 07/12/25,78,78,78,78,78,78,,,63,82,31,4491.54,,63,82,20,4491.54,,63,82,17,4491.54,,63,82,29,4491.54,,63,82,16,4491.54,,63,82,8,4491.54,57.5,
09:47:30 07/12/25,79,79,79,79,79,79,,,63,82,27,4641.26,,63,82,28,4641.26,,63,82,12,3713.01,,63,82,29,3713.01,,63,82,15,3713.01,,63,82,11,3713.01,65.7,
09:47:40 07/12/25,72,72,72,72,72,72,,,63,82,11,4641.26,,63,82,9,4641.26,,63,82,5,4641.26,,63,82,19,3713.01,,63,82,6,3713.01,,63,82,6,3713.01,45.4,
09:47:50 07/12/25,70,70,70,70,70,70,,,63,82,6,4541.45,,63,82,6,4566.40,,63,82,7,4566.40,,63,82,16,4566.40,,63,82,4,4566.40,,63,82,4,4566.40,47.6,
09:48:00 07/12/25,71,71,71,71,71,71,,,63,82,18,3668.09,,63,82,10,3713.01,,63,82,1,3713.01,,63,82,9,3713.01,,63,82,7,3713.01,,63,82,9,3713.01,50.2,
09:48:10 07/12/25,78,78,78,78,78,78,,,63,82,32,4541.45,,63,82,18,4541.45,,63,82,11,4541.45,,63,82,38,4541.45,,63,82,12,4566.40,,63,82,4,4566.40,61.8,
09:48:20 07/12/25,75,75,75,75,75,75,,,63,82,15,3713.01,,63,82,15,3713.01,,63,82,4,4641.26,,63,82,22,4641.26,,63,82,11,3713.01,,63,82,7,3713.01,50.8,
09:48:30 07/12/25,71,71,71,71,71,71,,,63,82,12,4566.40,,63,82,7,4566.40,,63,82,6,3653.12,,63,82,20,3653.12,,63,82,7,3653.12,,63,82,7,3653.12,46.2,
09:48:40 07/12/25,71,71,71,71,71,71,,,63,82,25,3713.01,,63,82,9,3713.01,,63,82,9,4641.26,,63,82,16,4641.26,,63,82,8,3713.01,,63,82,7,3713.01,49.3,
09:48:50 07/12/25,71,71,71,71,71,71,,,63,82,19,3713.01,,63,82,5,3713.01,,63,82,4,3713.01,,63,82,17,4641.26,,63,82,4,3713.01,,63,82,6,3713.01,49.1,
09:49:00 07/12/25,79,79,79,79,79,79,,,63,82,21,3668.09,,63,82,13,3668.09,,63,82,9,3668.09,,63,82,26,3668.09,,63,82,10,3668.09,,63,82,17,3668.09,51.7,
09:49:10 07/12/25,73,73,73,73,73,73,,,63,82,16,4641.26,,63,82,10,4641.26,,63,82,5,4641.26,,63,82,19,4641.26,,63,82,9,4641.26,,63,82,9,4641.26,49.1,
09:49:20 07/12/25,70,70,70,70,70,70,,,63,82,9,3668.09,,63,82,6,3668.09,,63,82,5,3668.09,,63,82,16,3668.09,,63,82,5,3668.09,,63,82,6,3668.09,45.4,
09:49:30 07/12/25,69,69,69,69,69,69,,,63,82,14,3668.09,,63,82,9,3668.09,,63,82,6,3668.09,,63,82,13,3668.09,,63,82,6,3668.09,,63,82,5,3668.09,47.4,
09:49:40 07/12/25,70,70,70,70,70,70,,,63,82,19,3713.01,,63,82,6,3713.01,,63,82,2,3713.01,,63,82,11,3713.01,,63,82,8,3713.01,,63,82,3,3713.01,48.1,
09:49:50 07/12/25,71,71,71,71,71,71,,,63,82,17,3668.09,,63,82,8,3668.09,,63,82,6,3668.09,,63,82,16,3668.09,,63,82,7,3668.09,,63,82,9,3668.09,51.8,
09:50:00 07/12/25,73,73,73,73,73,73,,,63,82,19,4641.26,,63,82,8,4641.26,,63,82,7,3713.01,,63,82,20,3713.01,,63,82,6,3713.01,,63,82,9,3713.01,51.9,
09:50:10 07/12/25,72,72,72,72,72,72,,,63,82,15,4641.26,,63,82,11,4641.26,,63,82,5,4641.26,,63,82,20,4641.26,,63,82,7,4641.26,,63,82,8,4641.26,47.0,
09:50:20 07/12/25,71,71,71,71,71,71,,,63,82,13,3668.09,,63,82,4,3668.09,,63,82,5,3668.09,,63,82,21,3668.09,,63,82,10,3713.01,,63,82,9,3713.01,49.6,
09:50:30 07/12/25,73,73,73,73,73,73,,,63,82,20,4641.26,,63,82,10,4641.26,,63,82,5,3713.01,,63,82,21,3713.01,,63,82,6,3713.01,,63,82,6,3713.01,50.4,
09:50:40 07/12/25,72,72,72,72,72,72,,,63,82,19,4566.40,,63,82,10,4566.40,,63,82,7,4566.40,,63,82,24,4566.40,,63,82,7,4641.26,,63,82,9,4641.26,50.3,
09:50:50 07/12/25,72,72,72,72,72,72,,,63,82,16,3713.01,,63,82,12,3713.01,,63,82,7,3713.01,,63,82,22,3713.01,,63,82,10,3713.01,,63,82,7,3713.01,47.2,
09:51:00 07/12/25,72,72,72,72,72,72,,,63,82,17,3668.09,,63,82,14,3668.09,,63,82,7,3668.09,,63,82,27,3668.09,,63,82,10,3668.09,,63,82,7,3668.09,50.8,
09:51:10 07/12/25,72,72,72,72,72,72,,,63,82,15,4641.26,,63,82,10,4641.26,,63,82,5,3713.01,,63,82,22,3713.01,,63,82,4,3713.01,,63,82,7,3713.01,49.2,
09:51:20 07/12/25,76,76,76,76,76,76,,,63,82,14,4516.50,,63,82,19,4516.50,,63,82,8,3613.20,,63,82,21,3613.20,,63,82,11,4516.50,,63,82,9,4516.50,57.5,
09:51:30 07/12/25,74,74,74,74,74,74,,,63,82,13,3713.01,,63,82,10,3713.01,,63,82,8,4641.26,,63,82,19,3668.09,,63,82,7,3668.09,,63,82,3,3668.09,49.8,
09:51:40 07/12/25,73,73,73,73,73,73,,,63,82,13,3668.09,,63,82,6,4641.26,,63,82,5,4641.26,,63,82,18,4641.26,,63,82,7,4641.26,,63,82,10,4641.26,50.1,
09:51:50 07/12/25,72,72,72,72,72,72,,,63,82,14,3668.09,,63,82,9,3668.09,,63,82,7,3668.09,,63,82,22,3668.09,,63,82,6,3668.09,,63,82,8,3668.09,50.0,
09:52:00 07/12/25,82,82,82,82,82,82,,,63,82,44,4466.59,,63,82,40,4466.59,,63,82,34,4466.59,,63,82,48,4466.59,,63,82,32,3573.27,,63,82,36,3573.27,68.4,
09:52:10 07/12/25,80,80,80,80,80,80,,,63,85,29,4591.35,,63,85,17,4591.35,,63,85,14,3673.08,,63,85,34,3673.08,,63,85,18,3673.08,,63,85,15,3673.08,64.1,
09:52:20 07/12/25,82,82,82,82,82,82,,,63,85,23,4491.54,,63,85,21,4491.54,,63,85,15,3593.23,,63,85,33,3593.23,,63,85,22,4491.54,,63,85,9,4491.54,65.1,
09:52:30 07/12/25,82,82,82,82,82,82,,,63,85,21,4516.50,,63,85,16,4516.50,,63,85,12,4516.50,,63,85,31,4491.54,,63,85,13,3593.23,,63,85,24,3593.23,65.3,
09:52:40 07/12/25,81,81,81,81,81,81,,,63,85,30,4641.26,,63,85,25,4641.26,,63,85,17,3713.01,,63,85,33,3713.01,,63,85,17,3713.01,,63,85,15,3713.01,64.4,
09:52:50 07/12/25,80,80,80,80,80,80,,,63,85,16,4641.26,,63,85,8,4641.26,,63,85,5,4641.26,,63,85,24,4641.26,,63,85,6,4641.26,,63,85,5,4641.26,51.6,
09:53:00 07/12/25,80,80,80,80,80,80,,,63,85,34,4491.54,,63,85,23,4491.54,,63,85,11,4491.54,,63,85,37,4491.54,,63,85,19,4491.54,,63,85,17,4491.54,64.8,
09:53:10 07/12/25,77,77,77,77,77,77,,,63,85,31,4541.45,,63,85,14,4541.45,,63,85,10,4541.45,,63,85,27,4541.45,,63,85,11,4541.45,,63,85,10,4541.45,55.1,
09:53:20 07/12/25,70,70,70,70,70,70,,,63,85,14,4641.26,,63,85,8,4641.26,,63,85,4,4641.26,,63,85,14,4641.26,,63,85,2,4641.26,,63,85,5,4641.26,44.0,
09:53:30 07/12/25,71,71,71,71,71,71,,,63,85,14,4641.26,,63,85,7,4641.26,,63,85,6,3713.01,,63,85,17,3713.01,,63,85,6,4641.26,,63,85,10,4641.26,48.0,
09:53:40 07/12/25,70,70,70,70,70,70,,,63,85,20,3668.09,,63,85,14,3668.09,,63,85,5,3668.09,,63,85,18,3668.09,,63,85,6,3668.09,,63,85,8,3668.09,45.7,
09:53:50 07/12/25,69,69,69,69,69,69,,,63,85,15,3668.09,,63,85,14,3668.09,,63,85,6,3668.09,,63,85,15,3668.09,,63,85,9,3713.01,,63,85,10,3713.01,46.5,
09:54:00 07/12/25,76,76,76,76,76,76,,,63,85,23,4641.26,,63,85,11,4641.26,,63,85,9,4641.26,,63,85,22,4641.26,,63,85,9,4641.26,,63,85,8,4641.26,48.8,
09:54:10 07/12/25,71,71,71,71,71,71,,,63,85,20,4491.54,,63,85,11,4491.54,,63,85,5,4491.54,,63,85,19,4491.54,,63,85,10,4491.54,,63,85,7,4491.54,46.4,
09:54:20 07/12/25,70,70,70,70,70,70,,,63,85,19,4641.26,,63,85,8,4641.26,,63,85,3,4641.26,,63,85,18,4641.26,,63,85,6,3713.01,,63,85,4,3713.01,51.9,
09:54:30 07/12/25,71,71,71,71,71,71,,,63,85,16,3553.31,,63,85,6,3553.31,,63,85,4,3553.31,,63,85,22,3553.31,,63,85,4,3553.31,,63,85,4,3553.31,47.9,
09:54:40 07/12/25,70,70,70,70,70,70,,,63,85,21,3668.09,,63,85,13,3668.09,,63,85,7,3668.09,,63,85,22,3668.09,,63,85,12,3668.09,,63,85,10,3668.09,48.0,
09:54:50 07/12/25,71,71,71,71,71,71,,,63,85,23,4491.54,,63,85,12,4491.54,,63,85,7,3593.23,,63,85,14,3593.23,,63,85,8,4491.54,,63,85,5,4491.54,50.1,
09:55:00 07/12/25,78,78,78,78,78,78,,,63,85,20,4641.26,,63,85,13,4641.26,,63,85,7,3713.01,,63,85,26,3713.01,,63,85,8,4641.26,,63,85,6,4641.26,52.9,
09:55:10 07/12/25,73,73,73,73,73,73,,,63,85,17,4641.26,,63,85,9,4641.26,,63,85,10,4641.26,,63,85,18,4616.31,,63,85,12,4616.31,,63,85,8,4616.31,48.9,
09:55:20 07/12/25,71,71,71,71,71,71,,,63,85,11,3713.01,,63,85,12,3713.01,,63,85,8,3713.01,,63,85,16,3713.01,,63,85,7,3713.01,,63,85,8,3713.01,45.4,
09:55:30 07/12/25,70,70,70,70,70,70,,,63,85,15,4641.26,,63,85,10,4641.26,,63,85,6,3713.01,,63,85,14,3713.01,,63,85,6,3713.01,,63,85,5,3713.01,47.4,
09:55:40 07/12/25,79,79,79,79,79,79,,,63,85,28,3668.09,,63,85,11,3668.09,,63,85,2,3668.09,,63,85,16,3668.09,,63,85,11,3668.09,,63,85,2,3713.01,58.3,
09:55:50 07/12/25,75,75,75,75,75,75,,,63,85,32,3668.09,,63,85,19,3668.09,,63,85,17,3668.09,,63,85,36,3668.09,,63,85,17,3668.09,,63,85,14,3713.01,57.0,
09:56:00 07/12/25,72,72,72,72,72,72,,,63,85,13,3713.01,,63,85,11,3713.01,,63,85,11,3713.01,,63,85,20,3713.01,,63,85,12,3713.01,,63,85,5,3713.01,50.5,
09:56:10 07/12/25,73,73,73,73,73,73,,,63,85,13,3713.01,,63,85,7,3713.01,,63,85,4,3713.01,,63,85,10,3713.01,,63,85,8,3713.01,,63,85,2,3713.01,40.9,
09:56:20 07/12/25,76,76,76,76,76,76,,,63,85,13,3593.23,,63,85,11,3593.23,,63,85,2,3593.23,,63,85,13,3593.23,,63,85,4,3593.23,,63,85,3,3593.23,46.3,
09:56:30 07/12/25,70,70,70,70,70,70,,,63,85,7,3668.09,,63,85,4,3668.09,,63,85,5,3668.09,,63,85,14,3668.09,,63,85,6,3668.09,,63,85,7,3668.09,40.2,
09:56:40 07/12/25,69,69,69,69,69,69,,,63,85,17,3713.01,,63,85,8,3713.01,,63,85,6,3713.01,,63,85,15,3713.01,,63,85,7,3713.01,,63,85,8,4641.26,47.0,
09:56:50 07/12/25,68,68,68,68,68,68,,,63,85,10,3668.09,,63,85,7,3668.09,,63,85,4,3668.09,,63,85,13,3668.09,,63,85,5,3668.09,,63,85,6,3668.09,42.6,
09:57:00 07/12/25,73,73,73,73,73,73,,,63,85,13,4516.50,,63,85,8,4516.50,,63,85,14,4516.50,,63,85,23,3593.23,,63,85,7,3593.23,,63,85,5,3593.23,45.3,
09:57:10 07/12/25,83,83,83,83,83,83,,,63,85,48,4641.26,,63,85,28,4641.26,,63,85,11,4641.26,,63,85,35,4641.26,,63,85,20,3713.01,,63,85,13,3713.01,65.7,
09:57:20 07/12/25,84,84,84,84,84,84,,,63,85,30,4541.45,,63,85,17,4566.40,,63,85,11,3653.12,,63,85,41,4541.45,,63,85,11,3633.16,,63,85,11,3633.16,58.4,
09:57:30 07/12/25,75,75,75,75,75,75,,,63,85,7,4641.26,,63,85,5,4641.26,,63,85,2,4641.26,,63,85,12,4641.26,,63,85,5,4641.26,,63,85,6,4641.26,45.9,
09:57:40 07/12/25,69,69,69,69,69,69,,,63,85,10,4641.26,,63,85,4,4641.26,,63,85,5,3713.01,,63,85,16,3713.01,,63,85,6,3713.01,,63,85,4,3713.01,44.4,
09:57:50 07/12/25,67,67,67,67,67,67,,,63,85,8,3668.09,,63,85,7,3668.09,,63,85,4,3668.09,,63,85,12,3668.09,,63,85,6,3668.09,,63,85,6,3668.09,45.4,
09:58:00 07/12/25,66,66,66,66,66,66,,,63,85,7,3713.01,,63,85,4,3713.01,,63,85,3,3713.01,,63,85,14,3713.01,,63,85,3,3713.01,,63,85,5,4641.26,42.8,
09:58:10 07/12/25,65,65,65,65,65,65,,,63,85,6,3668.09,,63,85,5,3668.09,,63,85,2,3668.09,,63,85,8,3668.09,,63,85,4,3668.09,,63,85,8,3668.09,37.9,
09:58:20 07/12/25,67,67,67,67,67,67,,,63,85,12,4641.26,,63,85,9,4641.26,,63,85,4,4641.26,,63,85,11,4641.26,,63,85,4,4641.26,,63,85,5,4641.26,45.3,
